1,1,001,1
2,2,001,3363
3,3,001,1808
4,4,001,432
5,5,001,873
6,1,002,59
7,2,002,317
8,3,002,228
9,4,002,262
10,5,002,46
11,1,003,215
12,2,003,1239
13,3,003,1648
14,4,003,276
15,5,003,461
16,1,004,43
17,2,004,1710
18,3,004,589
19,4,004,697
20,5,004,1000
21,1,005,36
22,2,005,86
23,3,005,1233
24,4,005,130
25,5,005,54
26,1,006,134
27,2,006,886
28,3,006,794
29,4,006,131
30,5,006,1065
31,1,007,216
32,2,007,1088
33,3,007,433
34,4,007,26
35,5,007,1687
36,1,008,3
37,2,008,3730
38,3,008,816
39,4,008,49
40,5,008,4540
